source,nprocs,repeat_index,elapsed_sec,status
laplace,1,1,5.56957,ok
laplace,2,1,2.82323,ok
laplace,4,1,1.53346,ok
laplace,8,1,0.774417,ok
laplace,16,1,0.391218,ok
laplace,32,1,0.255291,ok
laplace,64,1,0.154978,ok
laplace,112,1,0.11008,ok
laplace_basic1,1,1,5.19547,ok
laplace_basic1,2,1,2.63129,ok
laplace_basic1,4,1,1.42866,ok
laplace_basic1,8,1,0.717207,ok
laplace_basic1,16,1,0.359963,ok
laplace_basic1,32,1,0.230586,ok
laplace_basic1,64,1,0.148449,ok
laplace_basic1,112,1,0.103913,ok
laplace_basic2,1,1,7.06948,ok
laplace_basic2,2,1,3.58608,ok
laplace_basic2,4,1,1.94424,ok
laplace_basic2,8,1,0.981232,ok
laplace_basic2,16,1,0.450064,ok
laplace_basic2,32,1,0.281139,ok
laplace_basic2,64,1,0.173511,ok
laplace_basic2,112,1,0.134175,ok
laplace_advanced,1,1,7.10879,ok
laplace_advanced,2,1,3.59483,ok
laplace_advanced,4,1,1.95891,ok
laplace_advanced,8,1,0.981998,ok
laplace_advanced,16,1,0.524067,ok
laplace_advanced,32,1,0.836373,ok
laplace_advanced,64,1,0.726024,ok
laplace_advanced,112,1,0.462576,ok
