source,nprocs,repeat_index,elapsed_sec,time_per_iter,status
laplace,1,1,66.5729,0.0665729,ok
laplace,2,1,36.5563,0.0365563,ok
laplace,4,1,22.819,0.022819,ok
laplace,8,1,18.2203,0.0182203,ok
laplace,16,1,15.9285,0.0159285,ok
laplace,32,1,8.09759,0.00809759,ok
laplace,64,1,4.05629,0.00405629,ok
laplace,112,1,1.15169,0.00115169,ok
laplace_basic1,1,1,63.8078,0.0638078,ok
laplace_basic1,2,1,34.7127,0.0347127,ok
laplace_basic1,4,1,23.1375,0.0231375,ok
laplace_basic1,8,1,18.7882,0.0187882,ok
laplace_basic1,16,1,16.2982,0.0162982,ok
laplace_basic1,32,1,8.42477,0.00842477,ok
laplace_basic1,64,1,4.24315,0.00424315,ok
laplace_basic1,112,1,1.30695,0.00130695,ok
laplace_basic2,1,1,62.007,0.062007,ok
laplace_basic2,2,1,34.8119,0.0348119,ok
laplace_basic2,4,1,23.3744,0.0233744,ok
laplace_basic2,8,1,18.9735,0.0189735,ok
laplace_basic2,16,1,16.5691,0.0165691,ok
laplace_basic2,32,1,8.58371,0.00858371,ok
laplace_basic2,64,1,4.1645,0.0041645,ok
laplace_basic2,112,1,1.17622,0.00117622,ok
laplace_advanced,1,1,64.0656,0.0640656,ok
laplace_advanced,2,1,34.6243,0.0346243,ok
laplace_advanced,4,1,22.7397,0.0227397,ok
laplace_advanced,8,1,19.0178,0.0190178,ok
laplace_advanced,16,1,16.7492,0.0167492,ok
laplace_advanced,32,1,11.7282,0.0117282,ok
laplace_advanced,64,1,7.40324,0.00740324,ok
laplace_advanced,112,1,3.803,0.003803,ok
