source,nprocs,repeat_count,mean_sec,stdev_sec
laplace,1,1,0.005569570,0.000000000
laplace,2,1,0.002823230,0.000000000
laplace,4,1,0.001533460,0.000000000
laplace,8,1,0.000774417,0.000000000
laplace,16,1,0.000391218,0.000000000
laplace,32,1,0.000255291,0.000000000
laplace,64,1,0.000154978,0.000000000
laplace,112,1,0.000110080,0.000000000
laplace_basic1,1,1,0.005195470,0.000000000
laplace_basic1,2,1,0.002631290,0.000000000
laplace_basic1,4,1,0.001428660,0.000000000
laplace_basic1,8,1,0.000717207,0.000000000
laplace_basic1,16,1,0.000359963,0.000000000
laplace_basic1,32,1,0.000230586,0.000000000
laplace_basic1,64,1,0.000148449,0.000000000
laplace_basic1,112,1,0.000103913,0.000000000
laplace_basic2,1,1,0.007069480,0.000000000
laplace_basic2,2,1,0.003586080,0.000000000
laplace_basic2,4,1,0.001944240,0.000000000
laplace_basic2,8,1,0.000981232,0.000000000
laplace_basic2,16,1,0.000450064,0.000000000
laplace_basic2,32,1,0.000281139,0.000000000
laplace_basic2,64,1,0.000173511,0.000000000
laplace_basic2,112,1,0.000134175,0.000000000
laplace_advanced,1,1,0.007108790,0.000000000
laplace_advanced,2,1,0.003594830,0.000000000
laplace_advanced,4,1,0.001958910,0.000000000
laplace_advanced,8,1,0.000981998,0.000000000
laplace_advanced,16,1,0.000524067,0.000000000
laplace_advanced,32,1,0.000836373,0.000000000
laplace_advanced,64,1,0.000726024,0.000000000
laplace_advanced,112,1,0.000462576,0.000000000
