iterations = last residual index (history size - 1)
 gamma   method  iterations  final_rel_res  l2_err_to_ones  inf_err_to_ones  time_sec
   0.1     BiCG          32   7.794805e-13    3.411465e-10     2.857744e-10  0.030185
   0.1 BiCGSTAB          16   5.986678e-13    3.340451e-10     2.261674e-10  0.018499
   0.2     BiCG          33   8.733348e-13    4.086313e-10     3.373071e-10  0.022879
   0.2 BiCGSTAB          17   7.634340e-13    5.515544e-10     2.535123e-10  0.014405
   0.3     BiCG          35   5.298818e-13    3.048216e-10     2.391454e-10  0.022906
   0.3 BiCGSTAB          17   8.582242e-13    6.879840e-10     3.297560e-10  0.014681
   0.4     BiCG          37   4.998787e-13    2.726878e-10     1.989944e-10  0.024071
   0.4 BiCGSTAB          19   3.067469e-13    2.996423e-10     1.347931e-10  0.016824
   0.5     BiCG          38   6.136584e-13    6.186212e-10     3.629229e-10  0.024515
   0.5 BiCGSTAB          20   7.121410e-13    8.658862e-10     4.124806e-10  0.016952
   0.6     BiCG          40   9.780923e-13    9.483213e-10     6.050452e-10  0.025527
   0.6 BiCGSTAB          26   4.842078e-13    8.780756e-10     2.808919e-10  0.022208
   0.7     BiCG          45   6.732906e-13    7.106922e-10     4.469360e-10  0.028729
   0.7 BiCGSTAB          30   4.550456e-13    1.082735e-09     3.389498e-10  0.025330
   0.8     BiCG          51   8.964523e-13    1.211101e-09     6.935270e-10  0.032769
   0.8 BiCGSTAB          32   2.597579e-13    8.412586e-10     3.256337e-10  0.027294
   0.9     BiCG          65   9.580617e-13    2.075992e-09     9.173686e-10  0.041890
   0.9 BiCGSTAB          40   5.058563e-13    3.960162e-09     8.879788e-10  0.033877
