source,n_size,opt_type,repeat,time
matvec_original_n2000,n2000,generic,1,11.056517
matvec_original_n2000,n2000,generic,2,11.179782
matvec_original_n2000,n2000,generic,3,11.105056
matvec_loopswap_n2000,n2000,generic,1,2.744875
matvec_loopswap_n2000,n2000,generic,2,2.714692
matvec_loopswap_n2000,n2000,generic,3,2.712320
matvec_padding_n2000,n2000,generic,1,12.125147
matvec_padding_n2000,n2000,generic,2,11.859900
matvec_padding_n2000,n2000,generic,3,11.998387
matvec_loopswap_padding_n2000,n2000,generic,1,2.687049
matvec_loopswap_padding_n2000,n2000,generic,2,2.677960
matvec_loopswap_padding_n2000,n2000,generic,3,2.672369
matvec_loopswap_unroll_n2000,n2000,generic,1,3.936460
matvec_loopswap_unroll_n2000,n2000,generic,2,3.938618
matvec_loopswap_unroll_n2000,n2000,generic,3,3.934834
matvec_blocking_1_8_8_n2000,n2000,generic,1,10.767998
matvec_blocking_1_8_8_n2000,n2000,generic,2,10.637573
matvec_blocking_1_8_8_n2000,n2000,generic,3,10.831865
matvec_blocking_4_4_4_n2000,n2000,generic,1,8.633947
matvec_blocking_4_4_4_n2000,n2000,generic,2,8.656158
matvec_blocking_4_4_4_n2000,n2000,generic,3,8.635874
matvec_blocking_8_8_8_n2000,n2000,generic,1,5.113602
matvec_blocking_8_8_8_n2000,n2000,generic,2,5.121404
matvec_blocking_8_8_8_n2000,n2000,generic,3,5.130297
matvec_blocking_16_16_16_n2000,n2000,generic,1,4.365454
matvec_blocking_16_16_16_n2000,n2000,generic,2,4.372089
matvec_blocking_16_16_16_n2000,n2000,generic,3,4.361558
matvec_blocking_32_32_32_n2000,n2000,generic,1,4.412409
matvec_blocking_32_32_32_n2000,n2000,generic,2,4.431134
matvec_blocking_32_32_32_n2000,n2000,generic,3,4.412719
matvec_blocking_48_48_48_n2000,n2000,generic,1,4.804050
matvec_blocking_48_48_48_n2000,n2000,generic,2,4.804808
matvec_blocking_48_48_48_n2000,n2000,generic,3,4.805330
matvec_blocking_40_8_8_n2000,n2000,generic,1,4.340345
matvec_blocking_40_8_8_n2000,n2000,generic,2,4.345712
matvec_blocking_40_8_8_n2000,n2000,generic,3,4.340156
matvec_blocking_8_8_40_n2000,n2000,generic,1,5.405892
matvec_blocking_8_8_40_n2000,n2000,generic,2,5.424727
matvec_blocking_8_8_40_n2000,n2000,generic,3,5.411810
matvec_blocking_64_64_64_n2000,n2000,generic,1,5.110392
matvec_blocking_64_64_64_n2000,n2000,generic,2,5.110208
matvec_blocking_64_64_64_n2000,n2000,generic,3,5.110648
matvec_blocking_128_128_128_n2000,n2000,generic,1,6.101437
matvec_blocking_128_128_128_n2000,n2000,generic,2,6.107636
matvec_blocking_128_128_128_n2000,n2000,generic,3,6.110833
matvec_original_n2000_ppx,n2000,ppx_tuned,1,6.038945
matvec_original_n2000_ppx,n2000,ppx_tuned,2,6.007957
matvec_original_n2000_ppx,n2000,ppx_tuned,3,6.191217
matvec_loopswap_n2000_ppx,n2000,ppx_tuned,1,2.565279
matvec_loopswap_n2000_ppx,n2000,ppx_tuned,2,2.549267
matvec_loopswap_n2000_ppx,n2000,ppx_tuned,3,2.525703
matvec_padding_n2000_ppx,n2000,ppx_tuned,1,6.498986
matvec_padding_n2000_ppx,n2000,ppx_tuned,2,6.448285
matvec_padding_n2000_ppx,n2000,ppx_tuned,3,6.445208
matvec_loopswap_padding_n2000_ppx,n2000,ppx_tuned,1,2.537635
matvec_loopswap_padding_n2000_ppx,n2000,ppx_tuned,2,2.454729
matvec_loopswap_padding_n2000_ppx,n2000,ppx_tuned,3,2.472712
matvec_loopswap_unroll_n2000_ppx,n2000,ppx_tuned,1,4.939503
matvec_loopswap_unroll_n2000_ppx,n2000,ppx_tuned,2,5.014787
matvec_loopswap_unroll_n2000_ppx,n2000,ppx_tuned,3,4.993541
matvec_blocking_1_8_8_n2000_ppx,n2000,ppx_tuned,1,11.659154
matvec_blocking_1_8_8_n2000_ppx,n2000,ppx_tuned,2,10.683792
matvec_blocking_1_8_8_n2000_ppx,n2000,ppx_tuned,3,10.730048
matvec_blocking_4_4_4_n2000_ppx,n2000,ppx_tuned,1,9.125193
matvec_blocking_4_4_4_n2000_ppx,n2000,ppx_tuned,2,9.112273
matvec_blocking_4_4_4_n2000_ppx,n2000,ppx_tuned,3,9.109729
matvec_blocking_8_8_8_n2000_ppx,n2000,ppx_tuned,1,5.643128
matvec_blocking_8_8_8_n2000_ppx,n2000,ppx_tuned,2,5.650029
matvec_blocking_8_8_8_n2000_ppx,n2000,ppx_tuned,3,5.633638
matvec_blocking_16_16_16_n2000_ppx,n2000,ppx_tuned,1,4.618888
matvec_blocking_16_16_16_n2000_ppx,n2000,ppx_tuned,2,4.610733
matvec_blocking_16_16_16_n2000_ppx,n2000,ppx_tuned,3,4.640327
matvec_blocking_32_32_32_n2000_ppx,n2000,ppx_tuned,1,4.556351
matvec_blocking_32_32_32_n2000_ppx,n2000,ppx_tuned,2,4.556685
matvec_blocking_32_32_32_n2000_ppx,n2000,ppx_tuned,3,4.555522
matvec_blocking_48_48_48_n2000_ppx,n2000,ppx_tuned,1,4.773408
matvec_blocking_48_48_48_n2000_ppx,n2000,ppx_tuned,2,4.772576
matvec_blocking_48_48_48_n2000_ppx,n2000,ppx_tuned,3,4.776452
matvec_blocking_40_8_8_n2000_ppx,n2000,ppx_tuned,1,5.042680
matvec_blocking_40_8_8_n2000_ppx,n2000,ppx_tuned,2,5.041112
matvec_blocking_40_8_8_n2000_ppx,n2000,ppx_tuned,3,5.041150
